Action,PropID,N1,N2,N3,N4
QUAD,3,53525,53873,93922,53851
QUAD,3,54496,54554,94059,54555
QUAD,3,55412,94288,94290,94289
QUAD,3,55732,55752,55793,55733
QUAD,17,56479,624536,624535,624533
QUAD,4,157959,157961,157960,158250
QUAD,7,157959,157961,157960,325323
QUAD,8,383526,422578,422580,383527
QUAD,8,383526,383564,383566,383527
QUAD,10,499133,499849,499134,499319
TRIA,2,15114,17118,38219,0
TRIA,7,15342,15343,323890,0
TRIA,3,17572,17596,146091,0
TRIA,2,23511,23513,23710,0
TRIA,2,23511,23513,27980,0
TRIA,3,55732,55752,55757,0
TRIA,7,86619,689909,690081,0
TRIA,7,157915,157916,262520,0
TRIA,7,157915,157916,325324,0
TRIA,7,157960,157961,262454,0
TRIA,10,499134,499319,503955,0
TRIA,17,642720,642721,651464,0
TRIA,17,642724,642725,651459,0
TRIA,17,643144,643145,651430,0
TRIA,17,643148,643149,651425,0
TRIA,17,643579,643782,666534,0
TRIA,17,643676,643677,666956,0
TRIA,17,643680,643681,666951,0
TRIA,17,643778,643779,666539,0
TRIA,17,644347,644348,666509,0
TRIA,17,644354,644355,666929,0
TRIA,17,645019,645198,666564,0
TRIA,17,645104,645105,667014,0
TRIA,17,645108,645109,667009,0
TRIA,17,645194,645195,666569,0
TRIA,17,645691,645692,666597,0
TRIA,17,645695,645696,666592,0
TRIA,17,645697,645698,666987,0
TRIA,17,646041,646244,666654,0
TRIA,17,646138,646139,667072,0
TRIA,17,646142,646143,667067,0
TRIA,17,646240,646241,666659,0
TRIA,17,646809,646810,666627,0
TRIA,17,646813,646814,666622,0
TRIA,17,646815,646816,667045,0
TRIA,17,647213,647416,666744,0
TRIA,17,647310,647311,667130,0
TRIA,17,647314,647315,667125,0
TRIA,17,647412,647413,666749,0
TRIA,17,647981,647982,666687,0
TRIA,17,647985,647986,666682,0
TRIA,17,647987,647988,667103,0
TRIA,17,648385,648560,666774,0
TRIA,17,648468,648469,667246,0
TRIA,17,648472,648473,667241,0
TRIA,17,648556,648557,666779,0
TRIA,17,649041,649042,666717,0
TRIA,17,649045,649046,666712,0
TRIA,17,649047,649048,667219,0
TRIA,17,649389,649564,666804,0
