ElementID,Action,N1,N2,N3,N4
192338,DELETE,0,0,0,0
192376,DELETE,0,0,0,0
230659,DELETE,0,0,0,0
230810,DELETE,0,0,0,0
232609,DELETE,0,0,0,0
232943,DELETE,0,0,0,0
234048,DELETE,0,0,0,0
234343,DELETE,0,0,0,0
234619,DELETE,0,0,0,0
234681,DELETE,0,0,0,0
234789,DELETE,0,0,0,0
266353,DELETE,0,0,0,0
283161,DELETE,0,0,0,0
283513,DELETE,0,0,0,0
287462,DELETE,0,0,0,0
288135,DELETE,0,0,0,0
290198,DELETE,0,0,0,0
290306,DELETE,0,0,0,0
290983,DELETE,0,0,0,0
291336,DELETE,0,0,0,0
291444,DELETE,0,0,0,0
291735,DELETE,0,0,0,0
291888,DELETE,0,0,0,0
291955,DELETE,0,0,0,0
292633,DELETE,0,0,0,0
292661,DELETE,0,0,0,0
292702,DELETE,0,0,0,0
292887,DELETE,0,0,0,0
293405,DELETE,0,0,0,0
293723,DELETE,0,0,0,0
294391,DELETE,0,0,0,0
294486,DELETE,0,0,0,0
310983,DELETE,0,0,0,0
324614,DELETE,0,0,0,0
332140,DELETE,0,0,0,0
341500,DELETE,0,0,0,0
354428,DELETE,0,0,0,0
356271,DELETE,0,0,0,0
371138,DELETE,0,0,0,0
376924,DELETE,0,0,0,0
377671,DELETE,0,0,0,0
377901,DELETE,0,0,0,0
381262,DELETE,0,0,0,0
381881,DELETE,0,0,0,0
382045,DELETE,0,0,0,0
382212,DELETE,0,0,0,0
449533,DELETE,0,0,0,0
476390,DELETE,0,0,0,0
476527,DELETE,0,0,0,0
477833,DELETE,0,0,0,0
477970,DELETE,0,0,0,0
478283,DELETE,0,0,0,0
478420,DELETE,0,0,0,0
478531,DELETE,0,0,0,0
478845,DELETE,0,0,0,0
479198,DELETE,0,0,0,0
479428,DELETE,0,0,0,0
479538,DELETE,0,0,0,0
479852,DELETE,0,0,0,0
480345,DELETE,0,0,0,0
480482,DELETE,0,0,0,0
480898,DELETE,0,0,0,0
481035,DELETE,0,0,0,0
485777,DELETE,0,0,0,0
496739,DELETE,0,0,0,0
497076,DELETE,0,0,0,0
533725,DELETE,0,0,0,0
536489,DELETE,0,0,0,0
536719,DELETE,0,0,0,0
551808,DELETE,0,0,0,0
551813,DELETE,0,0,0,0
551831,DELETE,0,0,0,0
552133,DELETE,0,0,0,0
552146,DELETE,0,0,0,0
552809,DELETE,0,0,0,0
555577,DELETE,0,0,0,0
555590,DELETE,0,0,0,0
556193,DELETE,0,0,0,0
556381,DELETE,0,0,0,0
556394,DELETE,0,0,0,0
556702,DELETE,0,0,0,0
557318,DELETE,0,0,0,0
557331,DELETE,0,0,0,0
557524,DELETE,0,0,0,0
558444,DELETE,0,0,0,0
558618,DELETE,0,0,0,0
558631,DELETE,0,0,0,0
559241,DELETE,0,0,0,0
559525,DELETE,0,0,0,0
559538,DELETE,0,0,0,0
560108,DELETE,0,0,0,0
561067,DELETE,0,0,0,0
561491,DELETE,0,0,0,0
561504,DELETE,0,0,0,0
562016,DELETE,0,0,0,0
562029,DELETE,0,0,0,0
562886,DELETE,0,0,0,0
563130,DELETE,0,0,0,0
563143,DELETE,0,0,0,0
563593,DELETE,0,0,0,0
563606,DELETE,0,0,0,0
563844,DELETE,0,0,0,0
564793,DELETE,0,0,0,0
565347,DELETE,0,0,0,0
565360,DELETE,0,0,0,0
565848,DELETE,0,0,0,0
565861,DELETE,0,0,0,0
567199,DELETE,0,0,0,0
567212,DELETE,0,0,0,0
567633,DELETE,0,0,0,0
567776,DELETE,0,0,0,0
567789,DELETE,0,0,0,0
568173,DELETE,0,0,0,0
568186,DELETE,0,0,0,0
568549,DELETE,0,0,0,0
