ElementID,Action,N1,N2,N3,N4
54212,DELETE,0,0,0,0
54213,DELETE,0,0,0,0
54214,DELETE,0,0,0,0
54215,DELETE,0,0,0,0
54216,DELETE,0,0,0,0
54217,DELETE,0,0,0,0
54218,DELETE,0,0,0,0
54219,DELETE,0,0,0,0
54220,DELETE,0,0,0,0
54221,DELETE,0,0,0,0
54222,DELETE,0,0,0,0
54223,DELETE,0,0,0,0
54225,DELETE,0,0,0,0
54228,DELETE,0,0,0,0
54231,DELETE,0,0,0,0
55862,TRIA,68587,70537,68818,0
56028,DELETE,0,0,0,0
56099,TRIA,68635,70761,68633,0
56572,DELETE,0,0,0,0
56667,DELETE,0,0,0,0
56826,DELETE,0,0,0,0
56916,DELETE,0,0,0,0
56917,DELETE,0,0,0,0
56918,DELETE,0,0,0,0
56919,DELETE,0,0,0,0
57445,DELETE,0,0,0,0
57967,DELETE,0,0,0,0
57968,DELETE,0,0,0,0
57969,DELETE,0,0,0,0
57981,DELETE,0,0,0,0
57982,DELETE,0,0,0,0
57983,DELETE,0,0,0,0
57986,TRIA,72972,72974,72971,0
58494,TRIA,73451,73453,73450,0
58643,TRIA,73660,73752,73452,0
58814,TRIA,73822,73823,73825,0
59362,DELETE,0,0,0,0
60334,REORDER,13917,75822,13916,75821
60381,DELETE,0,0,0,0
61027,TRIA,76412,76407,76410,0
61033,DELETE,0,0,0,0
61129,DELETE,0,0,0,0
61130,DELETE,0,0,0,0
61131,DELETE,0,0,0,0
61132,DELETE,0,0,0,0
61133,DELETE,0,0,0,0
61134,DELETE,0,0,0,0
61135,DELETE,0,0,0,0
61136,DELETE,0,0,0,0
61137,DELETE,0,0,0,0
61138,DELETE,0,0,0,0
61139,DELETE,0,0,0,0
61140,DELETE,0,0,0,0
61141,DELETE,0,0,0,0
61142,DELETE,0,0,0,0
61143,DELETE,0,0,0,0
61144,DELETE,0,0,0,0
61145,DELETE,0,0,0,0
61146,DELETE,0,0,0,0
61147,DELETE,0,0,0,0
61148,DELETE,0,0,0,0
61149,DELETE,0,0,0,0
61150,DELETE,0,0,0,0
61151,DELETE,0,0,0,0
61152,DELETE,0,0,0,0
61153,DELETE,0,0,0,0
61154,DELETE,0,0,0,0
61155,DELETE,0,0,0,0
61156,DELETE,0,0,0,0
61157,DELETE,0,0,0,0
61158,DELETE,0,0,0,0
61159,DELETE,0,0,0,0
61160,DELETE,0,0,0,0
61161,DELETE,0,0,0,0
61162,DELETE,0,0,0,0
61163,DELETE,0,0,0,0
61164,DELETE,0,0,0,0
61165,DELETE,0,0,0,0
61166,DELETE,0,0,0,0
61167,DELETE,0,0,0,0
61168,DELETE,0,0,0,0
61169,DELETE,0,0,0,0
61170,DELETE,0,0,0,0
61185,TRIA,66449,76640,71179,0
63537,DELETE,0,0,0,0
63562,DELETE,0,0,0,0
63601,DELETE,0,0,0,0
63610,TRIA,79387,79388,79396,0
63626,TRIA,79406,79422,79403,0
63628,TRIA,79424,79405,79404,0
63696,DELETE,0,0,0,0
63705,TRIA,79510,79534,79509,0
63721,TRIA,79533,79549,79530,0
63723,TRIA,79551,79532,79531,0
63832,TRIA,79690,79561,79559,0
63836,TRIA,79665,79558,79666,0
63952,TRIA,79738,79840,79832,0
63954,TRIA,79739,79833,79741,0
64007,DELETE,0,0,0,0
64008,DELETE,0,0,0,0
64009,DELETE,0,0,0,0
64010,DELETE,0,0,0,0
64011,DELETE,0,0,0,0
64012,DELETE,0,0,0,0
64013,DELETE,0,0,0,0
64014,DELETE,0,0,0,0
64015,DELETE,0,0,0,0
64016,DELETE,0,0,0,0
65739,TRIA,81369,81497,81498,0
66608,DELETE,0,0,0,0
66697,TRIA,297,298,82799,0
66698,DELETE,0,0,0,0
66699,DELETE,0,0,0,0
66772,TRIA,82906,82908,82925,0
66773,DELETE,0,0,0,0
66774,DELETE,0,0,0,0
66775,DELETE,0,0,0,0
66776,DELETE,0,0,0,0
66777,DELETE,0,0,0,0
66778,DELETE,0,0,0,0
66779,DELETE,0,0,0,0
66780,TRIA,82918,82915,82916,0
66781,TRIA,82927,82929,56301,0
66782,DELETE,0,0,0,0
66783,DELETE,0,0,0,0
66784,DELETE,0,0,0,0
66785,DELETE,0,0,0,0
66786,DELETE,0,0,0,0
66787,DELETE,0,0,0,0
66788,DELETE,0,0,0,0
66789,TRIA,82939,82936,82917,0
67278,TRIA,83988,83186,83187,0
67583,DELETE,0,0,0,0
67584,DELETE,0,0,0,0
67585,DELETE,0,0,0,0
67586,DELETE,0,0,0,0
67587,DELETE,0,0,0,0
67588,DELETE,0,0,0,0
67589,DELETE,0,0,0,0
67590,DELETE,0,0,0,0
67591,DELETE,0,0,0,0
67592,DELETE,0,0,0,0
67593,DELETE,0,0,0,0
67594,TRIA,83129,83146,83147,0
67595,DELETE,0,0,0,0
67596,DELETE,0,0,0,0
67597,DELETE,0,0,0,0
67598,TRIA,83132,83075,72009,0
67599,TRIA,83130,84207,84206,0
68332,TRIA,84828,82974,82975,0
70383,TRIA,86598,86841,19886,0
70386,DELETE,0,0,0,0
74142,DELETE,0,0,0,0
74160,TRIA,91517,46032,46031,0
74181,TRIA,91515,45652,91566,0
74214,DELETE,0,0,0,0
74215,DELETE,0,0,0,0
74216,DELETE,0,0,0,0
74217,DELETE,0,0,0,0
74218,DELETE,0,0,0,0
74236,TRIA,91605,46627,45540,0
74261,TRIA,91603,45539,91638,0
74265,DELETE,0,0,0,0
74283,TRIA,91659,46667,45424,0
74308,TRIA,91657,45423,91692,0
74312,DELETE,0,0,0,0
74330,TRIA,91713,46707,45306,0
74355,TRIA,91711,45305,91746,0
74359,DELETE,0,0,0,0
74360,DELETE,0,0,0,0
74361,DELETE,0,0,0,0
74362,DELETE,0,0,0,0
74363,DELETE,0,0,0,0
74364,DELETE,0,0,0,0
74365,DELETE,0,0,0,0
74366,DELETE,0,0,0,0
74367,DELETE,0,0,0,0
74368,DELETE,0,0,0,0
74369,DELETE,0,0,0,0
74370,DELETE,0,0,0,0
74440,DELETE,0,0,0,0
74451,TRIA,47167,91877,47679,0
74483,TRIA,47168,91893,47169,0
74532,DELETE,0,0,0,0
74543,TRIA,47777,56803,47563,0
74575,TRIA,47778,92001,47565,0
74578,DELETE,0,0,0,0
74579,DELETE,0,0,0,0
74580,DELETE,0,0,0,0
74581,DELETE,0,0,0,0
74621,DELETE,0,0,0,0
74622,DELETE,0,0,0,0
74623,DELETE,0,0,0,0
74624,DELETE,0,0,0,0
74625,DELETE,0,0,0,0
74643,TRIA,48499,92095,48883,0
74668,TRIA,48500,92111,48501,0
74671,DELETE,0,0,0,0
74672,DELETE,0,0,0,0
74673,DELETE,0,0,0,0
74674,DELETE,0,0,0,0
74675,DELETE,0,0,0,0
74676,DELETE,0,0,0,0
74677,DELETE,0,0,0,0
74678,DELETE,0,0,0,0
74679,DELETE,0,0,0,0
74697,TRIA,48825,92158,48200,0
74722,TRIA,48448,92174,48202,0
75594,TRIA,52536,93212,52538,0
75608,TRIA,93200,52602,93198,0
75647,TRIA,93199,52602,93253,0
